species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
allenopithecus_nigroviridis,61.19674101333334,NA,NA,40,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,teleostei,NA,NA,0,allenopithecus,1
alouatta_caraya,50.1395191682517,Fol,25,7.025,polygynandry,harem polygyny,NA,5596.653333333333,haplorrhini,simmiformes,atelidae,aves,galliformes,Phasianidae,0,alouatta,1
alouatta_guariba,53.947547164276756,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,atelidae,NA,NA,NA,0,alouatta,0
alouatta_palliata,51.93576968963947,Fol,42,14.509782608695652,polygynandry,harem polygyny,NA,6358.996666666666,haplorrhini,simmiformes,atelidae,aves,NA,NA,0,alouatta,1
alouatta_pigra,52.9655,Fol,NA,5.933333333333334,polygynandry,harem polygyny,NA,8940,haplorrhini,simmiformes,atelidae,NA,NA,NA,0,alouatta,0
alouatta_seniculus,48.156329662209465,Fol,42,7.446428571428571,polygynandry,harem polygyny,Anecdotal evidence of a free individual using tools to be aggressive towards another,6247.359743589744,haplorrhini,simmiformes,atelidae,squamata,squamata,Iguanidae,1,alouatta,1
aotus_azarai,21.412652333333334,Frug/Fol,NA,3,pair,monogamy,NA,1073.19,haplorrhini,simmiformes,aotidae,NA,NA,NA,0,aotus,0
aotus_lemurinus,NA,Frug,NA,3.5,pair,monogamy,NA,869.98,haplorrhini,simmiformes,aotidae,NA,NA,NA,0,aotus,0
aotus_trivirgatus,16.91290451167079,Frug,45.5,3.705,pair,monogamy,NA,870.8000000000001,haplorrhini,simmiformes,aotidae,NA,NA,NA,0,aotus,0
arctocebus_calabarensis,7.170563430191403,Om,NA,1.25,solitary,spatial polygyny,NA,239.33666666666667,strepsirrhini,lorisiformes,lorisidae,NA,NA,NA,0,arctocebus,0
ateles_belzebuth,108.0379368648439,Frug/Fol,83,16.666666666666668,polygynandry,polygynandry,NA,6409.139999999999,haplorrhini,simmiformes,atelidae,NA,NA,NA,0,ateles,0
ateles_fusciceps,98.05051168888889,Frug,NA,5,polygynandry,polygynandry,NA,8033.97,haplorrhini,simmiformes,atelidae,NA,NA,NA,0,ateles,0
ateles_geoffroyi,99.18426686231015,Frug,68.7,27.485294117647058,polygynandry,polygynandry,Multiple recorded observations of free individuals using tools for physical maintenance,6711.8,haplorrhini,simmiformes,atelidae,NA,NA,NA,1,ateles,0
ateles_paniscus,110.93825,Frug,82.9,22.5,polygynandry,polygynandry,NA,7789.5277777777765,haplorrhini,simmiformes,atelidae,NA,NA,NA,0,ateles,0
avahi_laniger,10.353631625,Fol,0,2.6666666666666665,pair,monogamy,NA,1300,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,avahi,0
avahi_occidentalis,8.9531,Fol,NA,NA,pair,monogamy,NA,795.5,strepsirrhini,lemuriformes,indriidae,NA,NA,NA,0,avahi,0
brachyteles_arachnoides,NA,Frug/Fol,NA,26.928571428571427,polygynandry,polygynandry,NA,9247.5,haplorrhini,simmiformes,atelidae,NA,NA,NA,0,brachyteles,0
cacajao_calvus,NA,Frug,18,15,polygynandry,harem polygyny,NA,3293.02,haplorrhini,simmiformes,pitheciidae,squamata,squamata,NA,0,cacajao,1
cacajao_melanocephala,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,pitheciidae,amphibia,anura,NA,0,cacajao,1
cacajao_ouakary,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,pitheciidae,squamata,chelonidae,NA,0,cacajao,1
callicebus_coimbrai,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,pitheciidae,aves,passeriformes,Turdidae,0,callicebus,1
callicebus_moloch,17.725,Frug,53.7,3.3464285714285715,pair,monogamy,NA,883.805238095238,haplorrhini,simmiformes,pitheciidae,NA,NA,NA,0,callicebus,0
callicebus_personatus,NA,NA,NA,3.45,NA,NA,NA,NA,haplorrhini,simmiformes,pitheciidae,NA,NA,NA,0,callicebus,0
callicebus_torquatus,20.55927496,Frug,33,3.66,pair,monogamy,NA,1152.5,haplorrhini,simmiformes,pitheciidae,NA,NA,NA,0,callicebus,0
callimico_goeldii,11.882625833333334,Om,NA,6.5,pair,monogamy,NA,538.5,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, NA",NA,0,callimico,1
callithrix_argentata,7.911912726181819,Om,NA,6.199999999999999,pair,monogamy,NA,361.1233333333334,haplorrhini,simmiformes,callitrichidae,NA,NA,NA,0,callithrix,0
callithrix_aurita,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,aves,NA,NA,0,callithrix,1
callithrix_flaviceps,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, NA",NA,0,callithrix,1
callithrix_geoffroyi,8.642857142857142,Om,NA,9,pair,monogamy,NA,342,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata","anura, squamata",NA,0,callithrix,1
callithrix_humeralifera,8.495199999999999,NA,NA,11.5,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, passeriformes, NA","NA, Thamnophilidae, Thraupidae",0,callithrix,1
callithrix_jacchus,7.7974721044,Frug,22,7.992857142857143,pair,polyandry,NA,272.705,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves, mammalia","anura, squamata, apodiformes, caprimuligiformes, colombiformes, passeriformes, NA, didelphimorphia, rodentia","Hylidae, NA, Gekkonidae, Trochilidae, Capromulgidae, Columbidae, Cotingidae, Thamnophilidae, Thraupidae, Turdidae, Tyrannidae, Didelphidae, Echimyidae",0,callithrix,1
callithrix_kuhli,NA,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves","anura, squamata, NA",NA,0,callithrix,1
callithrix_penicillata,7.524037040531802,Om,NA,6.6,pair,monogamy,NA,323.49,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata, aves, mammalia","anura, NA, passeriformes, didelphimorphia, rodentia","Hylidae, NA, Columbidae, Icteridae, Didelphidae, Muridae",0,callithrix,1
callithrix_pygmaea,4.5393400040000005,Om,0,5.47,pair,polyandry,NA,125.81333333333333,haplorrhini,simmiformes,callitrichidae,"amphibia, squamata","anura, squamata","Aromabatidae, Dactyloidea, Tropiduridae",0,callithrix,1
cebus_albifrons,64.00796618102846,Om,24.6,19.083333333333332,polygynandry,polygynandry,Multiple recorded observations of free individuals using tools for food transportation,2535.56,haplorrhini,simmiformes,cebidae,"amphibia, squamata, aves, mammalia","anura, squamata, passeriformes, rodentia, didelphimorphia","NA, Icteridae, Muridae, Didelphidae",1,cebus,1
cebus_apella,71.62318093867096,Om,36,11.471428571428572,polygynandry,polygynandry,NA,2669.21,haplorrhini,simmiformes,cebidae,NA,NA,NA,0,cebus,0
cebus_capucinus,65.12525086628662,Om,67.5,17.38888888888889,polygynandry,harem polygyny,"Multiple accounts of free individuals using tools to extract food, maintain their physical self, defend against predation, and to be aggressive towards another",2798.107777777777,haplorrhini,simmiformes,cebidae,"amphibia, squamata, aves, mammalia","anura, squamata, NA, columbiformes, cuculiformes, galliformes, passeriformes, psittaciformes, tinaniformes, trogoniformes, unspecified, carnivora, chiroptera, rodentia","NA, Iguanidae, Anolidae, Columbidae, Cuculidae, Cracidae, Corvidae, Troglodytidae, Psittacidae, Tinanidae, Trogonidae, Procyanidae, Sciuridae, Echimyidae",1,cebus,1
