infraorder,superfamily,family,species,prey,prey_order,prey_family,parvorder
strepsirrhini,lorisiformes,lorisidae,euoticus_elegantulus,aves,passeriformes,Cisticolidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,galago_alleni,amphibia,anura,NA,lemuriforms
strepsirrhini,lorisiformes,lorisidae,galago_moholi,aves,passeriformes,Monarchidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,galago_moholi,aves,passeriformes,Turdidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,loris_lydekkerianus,squamata,squamata,Gekkonidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,loris_tardigradus,squamata,squamata,Gekkonidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,loris_tardigradus,aves,NA,NA,lemuriforms
strepsirrhini,lorisiformes,lorisidae,nycticebus_coucang,aves,NA,NA,lemuriforms
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,squamata,squamata,NA,lemuriforms
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,Calyptomenidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,Monarchidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,Muscicapidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,Nicatoridae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,Pycnonodidae,lemuriforms
strepsirrhini,lorisiformes,lorisidae,perodicticus_potto,aves,NA,NA,lemuriforms
strepsirrhini,lorisiformes,lorisidae,perodicticus_potto,mammalia,chiroptera,Pteropodidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,cheirogaleus_medius,squamata,squamata,NA,lemuriforms
strepsirrhini,lemuriformes,lemuridae,eulemur_fulvus_fulvus,aves,passeriformes,Monarchidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,eulemur_fulvus_fulvus,mammalia,primates,Lemuridae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,microcebus_berthae,squamata,squamata,Chamaeleonidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,microcebus_berthae,squamata,squamata,Gekkonidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,microcebus_murinus,amphibia,anura,NA,lemuriforms
strepsirrhini,lemuriformes,lemuridae,microcebus_murinus,squamata,squamata,Chamaeleonidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,microcebus_murinus,squamata,squamata,Gekkonidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,amphibia,anura,NA,lemuriforms
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,squamata,squamata,Chamaeleonidae,lemuriforms
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,squamata,squamata,NA,lemuriforms
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,aves,NA,NA,lemuriforms
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,mammalia,rodentia,NA,lemuriforms
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,mammalia,primates,Cheirogaleidae,lemuriforms
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,teleostei,actinopterygii,NA,tarsidae
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,squamata,squamata,Elapidae,tarsidae
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,squamata,NA,NA,tarsidae
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,aves,coraciiformes,Alcedinidae,tarsidae
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,aves,passeriformes,Sylviidae,tarsidae
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,aves,passeriformes,Pittidae,tarsidae
