infraorder,superfamily,family,primate_species,prey,prey_order,prey_family
strepsirrhini,lorisiformes,lorisidae,euoticus_elegantulus,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,galago_alleni,amphibia,anura,lorisidae
strepsirrhini,lorisiformes,lorisidae,galago_moholi,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,galago_moholi,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,loris_lydekkerianus,reptilia,squamata,lorisidae
strepsirrhini,lorisiformes,lorisidae,loris_tardigradus,reptilia,squamata,lorisidae
strepsirrhini,lorisiformes,lorisidae,loris_tardigradus,aves,NA,lorisidae
strepsirrhini,lorisiformes,lorisidae,nycticebus_coucang,aves,NA,lorisidae
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,reptilia,squamata,lorisidae
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,otolemur_crassicaudatus,aves,passeriformes,lorisidae
strepsirrhini,lorisiformes,lorisidae,perodicticus_potto,aves,NA,lorisidae
strepsirrhini,lorisiformes,lorisidae,perodicticus_potto,mammalia,chiroptera,lorisidae
strepsirrhini,lemuriformes,lemuridae,cheirogaleus_medius,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,eulemur_fulvus,aves,passeriformes,lemuridae
strepsirrhini,lemuriformes,lemuridae,eulemur_fulvus,mammalia,primates,lemuridae
strepsirrhini,lemuriformes,lemuridae,microcebus_berthae,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,microcebus_berthae,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,microcebus_murinus,amphibia,anura,lemuridae
strepsirrhini,lemuriformes,lemuridae,microcebus_murinus,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,microcebus_murinus,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,amphibia,anura,lemuridae
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,reptilia,squamata,lemuridae
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,aves,NA,lemuridae
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,mammalia,rodentia,lemuridae
strepsirrhini,lemuriformes,lemuridae,mirza_coquereli,mammalia,primates,lemuridae
haplorrhini,tarsiiformes,tarsidae,tarsius_bancanus,teleostei,actinopterygii,tarsidae
